      TimeJ       PrDM      DepSM      C0S/m      C1S/m      T090C      T190C        Bat      Xmiss         V1    Sbeox0V         V2  FlECO-AFL         V3     Upoly0         V4        Par         V5       AltM         V6      Sal00      Sal11 Potemp090C Potemp190C  Sigma-�00  Sigma-�11   Sbeox0PS Sbeox0ML/L  Sbeox0Mm/Kg       Nbin       Flag
 255.150391     63.000     62.524   3.724271   3.724514    10.3348    10.3379     0.4392    89.6018     4.5109     1.3629     1.3629     0.3855     0.0354  0.0002000     0.0000 1.0000e-12     0.1292     100.00     5.0000    33.7915    33.7910    10.3275    10.3306    25.9525    25.9516   43.59033    2.75385    119.927         29 0.0000e+00
 255.150375     64.000     63.521   3.720012   3.719131    10.2790    10.2669     0.4360    89.6732     4.5144     1.3518     1.3518     0.3980     0.0359  0.0002000     0.0000 1.0000e-12     0.1287     100.00     5.0000    33.7999    33.8023    10.2716    10.2595    25.9687    25.9726   44.37451    2.80661    122.224         31 0.0000e+00
 255.150360     65.000     64.515   3.711597   3.711004    10.1749    10.1678     0.4172    90.0944     4.5354     1.3302     1.3302     0.3911     0.0356  0.0002000     0.0000 1.0000e-12     0.1285     100.00     5.0000    33.8112    33.8119    10.1675    10.1604    25.9953    25.9970   43.48445    2.75629    120.034         47 0.0000e+00
 255.150314     66.000     65.498   3.712586   3.713715    10.1864    10.2037     0.4148    90.1491     4.5381     1.3070     1.3070     0.3850     0.0354  0.0002000     0.0000 1.0000e-12     0.1287     100.00     5.0000    33.8101    33.8054    10.1788    10.1961    25.9925    25.9859   40.69960    2.57920    112.321         39 0.0000e+00
 255.150299     67.000     66.490   3.710890   3.710279    10.1663    10.1581     0.4028    90.4211     4.5516     1.3032     1.3032     0.3680     0.0347  0.0002000     0.0000 1.0000e-12     0.1283     100.00     5.0000    33.8112    33.8127    10.1586    10.1504    25.9968    25.9993   40.25136    2.55186    111.131         26 0.0000e+00
 255.150284     68.000     67.493   3.707387   3.706459    10.1234    10.1105     0.3954    90.5886     4.5599     1.3021     1.3022     0.3790     0.0352  0.0002000     0.0000 1.0000e-12     0.1283     100.00     5.0000    33.8153    33.8179    10.1156    10.1027    26.0073    26.0115   40.33922    2.55975    111.475         26 0.0000e+00
 255.150269     69.000     68.485   3.705097   3.704844    10.0908    10.0878     0.3980    90.5300     4.5570     1.2974     1.2975     0.3899     0.0356  0.0002000     0.0000 1.0000e-12     0.1283     100.00     5.0000    33.8221    33.8223    10.0829    10.0799    26.0181    26.0188   40.33445    2.56115    111.536         34 0.0000e+00
 255.150238     70.000     69.467   3.705570   3.705616    10.0971    10.0983     0.4065    90.3370     4.5474     1.2891     1.2891     0.4071     0.0363  0.0002000     0.0000 1.0000e-12     0.1284     100.00     5.0000    33.8205    33.8198    10.0891    10.0903    26.0159    26.0151   39.63620    2.51649    109.591         43 0.0000e+00
 255.150223     71.000     70.465   3.705533   3.705099    10.0937    10.0881     0.4107    90.2416     4.5427     1.2874     1.2875     0.4059     0.0362  0.0002000     0.0000 1.0000e-12     0.1284     100.00     5.0000    33.8229    33.8236    10.0856    10.0800    26.0183    26.0199   39.51103    2.50869    109.251         31 0.0000e+00
 255.150208     72.000     71.460   3.704741   3.704292    10.0824    10.0772     0.4098    90.2618     4.5437     1.2864     1.2864     0.4068     0.0363  0.0002000     0.0000 1.0000e-12     0.1282     100.00     5.0000    33.8249    33.8252    10.0742    10.0690    26.0218    26.0230   39.43396    2.50438    109.063         42 0.0000e+00
 255.150177     73.000     72.447   3.704032   3.703978    10.0727    10.0726     0.4133    90.1841     4.5398     1.2841     1.2841     0.4109     0.0364  0.0002000     0.0000 1.0000e-12     0.1282     100.00     5.0000    33.8264    33.8258    10.0643    10.0643    26.0246    26.0242   39.32579    2.49801    108.786         55 0.0000e+00
 255.150146     74.000     73.440   3.703985   3.703911    10.0715    10.0713     0.4139    90.1697     4.5391     1.2828     1.2828     0.3852     0.0354  0.0002000     0.0000 1.0000e-12     0.1282     100.00     5.0000    33.8265    33.8260    10.0631    10.0628    26.0250    26.0246   39.21408    2.49098    108.480         42 0.0000e+00
 255.150131     75.000     74.432   3.703728   3.703626    10.0675    10.0668     0.4159    90.1249     4.5369     1.2822     1.2822     0.3852     0.0354  0.0002000     0.0000 1.0000e-12     0.1282     100.00     5.0000    33.8272    33.8268    10.0589    10.0583    26.0262    26.0260   39.10701    2.48438    108.192         38 0.0000e+00
 255.150116     76.000     75.426   3.703637   3.703568    10.0657    10.0655     0.4186    90.0639     4.5338     1.2825     1.2825     0.3852     0.0354  0.0002000     0.0000 1.0000e-12     0.1282     100.00     5.0000    33.8275    33.8270    10.0570    10.0568    26.0268    26.0264   39.09033    2.48341    108.150         34 0.0000e+00
 255.150101     77.000     76.420   3.703793   3.703736    10.0671    10.0671     0.4193    90.0495     4.5331     1.2827     1.2827     0.3852     0.0354  0.0002000     0.0000 1.0000e-12     0.1282     100.00     5.0000    33.8273    33.8268    10.0583    10.0583    26.0264    26.0260   39.16497    2.48808    108.354         44 0.0000e+00
 255.150070     78.000     77.410   3.703944   3.703832    10.0685    10.0676     0.4212    90.0051     4.5309     1.2822     1.2822     0.3852     0.0354  0.0002000     0.0000 1.0000e-12     0.1282     100.00     5.0000    33.8271    33.8268    10.0596    10.0587    26.0261    26.0259   39.14464    2.48672    108.294         51 0.0000e+00
 255.150055     79.000     78.398   3.704036   3.703898    10.0690    10.0679     0.4198    90.0360     4.5325     1.2824     1.2825     0.3854     0.0354  0.0002000     0.0000 1.0000e-12     0.1282     100.00     5.0000    33.8271    33.8267    10.0600    10.0589    26.0260    26.0259   39.07042    2.48197    108.088         36 0.0000e+00
 255.149994     80.000     79.395   3.703523   3.703219    10.0613    10.0573     0.4194    90.0465     4.5330     1.2834     1.2834     0.3910     0.0356  0.0002000     0.0000 1.0000e-12     0.1282     100.00     5.0000    33.8287    33.8293    10.0522    10.0482    26.0285    26.0297   39.14139    2.48687    108.301         31 0.0000e+00
 255.149582     81.000     80.383   3.701456   3.700881    10.0336    10.0255     0.4490    89.3815     4.5000     1.2836     1.2837     0.3983     0.0359  0.0002000     0.0000 1.0000e-12     0.1281     100.00     5.0000    33.8331    33.8348    10.0244    10.0163    26.0367    26.0394   39.25120    2.49528    108.667         38 0.0000e+00
 255.149551     82.000     81.376   3.701437   3.701414    10.0324    10.0330     0.4538    89.2743     4.4946     1.2831     1.2831     0.3960     0.0358  0.0002000     0.0000 1.0000e-12     0.1281     100.00     5.0000    33.8336    33.8328    10.0230    10.0236    26.0373    26.0366   39.20293    2.49227    108.536         35 0.0000e+00
